Name,Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
Arjun,38,Male,85.5,1.77,175,156,50,1.13,766,HIIT,14.6,3.4,2,1,16.38
Aarav,18,Female,50.1,1.8,174,125,50,1.38,1185,HIIT,30.8,3.4,3,2,29.04
Vivaan,45,Male,129.9,1.75,197,154,73,1.97,757,Cardio,23.5,2.4,5,1,36.13
Meera,47,Female,93.3,1.73,184,123,62,1.45,998,Yoga,15.1,1.7,4,2,12.32
Tia,45,Female,73.7,1.7,190,167,67,1.11,1100,Yoga,29.1,1.8,2,1,15.88
Riya,55,Female,69.4,1.56,175,134,70,1.48,734,Yoga,16.8,,4,2,23.63
Myra,18,Male,86.1,2,180,158,72,1.27,1173,HIIT,19.7,3.5,2,3,13.06
Krishna,20,Female,,1.5,198,128,50,0.97,906,Cardio,31.2,3.4,2,1,21.03
Saanvi,18,Female,40,1.77,189,137,74,0.6,829,Cardio,24.7,2.6,4,1,16.35
Kabir,46,Female,40.8,1.71,191,162,52,0.93,903,Yoga,14.2,1.9,2,,39.04
Aanya,43,Male,56.4,1.8,174,161,74,1.03,327,Strength,10,3.2,3,1,21.21
Advait,45,Female,60.7,1.63,170,139,74,1.18,1356,\tCardio,10,3.3,3,3,12.32
Meera,43,Female,40,1.69,187,162,66,0.9,886,Strength,28,2.2,2,1,26.48
Meera,29,Female,84.4,1.67,184,160,74,1.28,1475,Yoga,10,2.1,5,2,17.62
Krishna,18,Female,67.5,1.71,185,166,58,1.81,1162,Cardio,10.6,3.5,3,2,37.91
Vihaan,21,Female,62.1,1.68,173,158,71,1.23,1186,Yoga,26.4,3.5,4,1,15.6
Riya,41,Male,83.7,1.92,161,163,59,1.37,1308,Cardio,21.4,1.5,2,2,17.48
Aarav,26,Female,80.6,1.86,195,127,53,2,564,Strength,23.1,1.5,3,2,29.21
Ishaan,33,Male,60.8,1.78,189,147,73,1.04,951,Cardio,27.3,3.3,4,2,
Reyansh,18,Male,44.8,1.81,164,,57,1.2,742,HIIT,23.5,3.3,4,3,19.04
Myra,21,Male,62.3,1.91,198,141,51,1.47,1394,Yoga,22.7,1.8,3,2,17.4
Vivaan,49,Female,97.4,1.67,171,132,72,1.97,1091,Cardio,30.4,3.6,3,1,12.32
Meera,19,Male,51.4,1.78,167,154,70,2,1218,Yoga,29.8,2.1,3,2,13.61
Aryan,31,Male,79.1,1.74,192,167,74,0.93,1157,Cardio,18.7,1.9,2,3,13.83
Tia,43,Male,57.5,2,172,126,64,1.4,735,Cardio,16.9,2.1,3,1,20.98
Vivaan,43,Female,70.6,1.71,193,148,54,1.28,725,Cardio,27.1,3.6,3,1,22.55
Saanvi,18,Female,72.5,1.79,173,140,67,1.34,1629,Strength,27.3,2.7,5,1,19.58
Advait,44,Female,68,1.66,182,146,68,0.82,1278,HIIT,20.7,3,5,1,16.02
Zara,21,Female,121.6,1.78,182,151,50,1.81,1242,Yoga,21,3.5,4,2,16.63
Aarav,44,Male,55.1,1.9,196,165,55,1.26,901,,26.9,2.6,3,1,22.13
Myra,58,Female,51.2,1.72,165,139,70,0.79,1612,Yoga,20.6,2.1,3,3,36.29
Riya,35,Female,60.8,1.64,161,127,74,1.57,1132,Yoga,20.7,3.7,3,3,19.54
Krishna,18,Male,49.8,1.96,199,162,74,1.64,996,Strength,,2.3,4,2,14.35
Aarav,26,Female,64.7,1.75,172,157,52,1.35,1193,Yoga,23.5,1.6,3,2,18.21
Advait,24,Female,58.5,1.87,183,128,74,1.36,1034,HIIT,24.8,3.3,4,1,24.49
Saanvi,31,Female,49.1,1.7,162,167,63,1.1,891,Strength,23.5,2.9,3,1,15.73
Aarav,39,Female,67.8,1.59,164,158,74,1.65,1374,Strength,25.9,2.6,5,2,25
Advait,22,Male,43.3,1.69,176,158,53,1.31,500,,23.7,1.5,2,2,13.83
Riya,44,Female,40.8,1.74,177,165,72,,384,HIIT,10,,3,1,13.11
Kabir,18,Male,71.5,1.69,186,124,60,1.53,763,Yoga,16.9,2.5,2,1,15.8
Zara,50,Male,41.1,1.51,169,152,63,2,1069,Strength,24.9,1.5,4,2,31.59
Aryan,27,Male,52.3,1.6,177,124,66,0.93,416,Strength,22.5,,5,2,31.64
Meera,28,Male,73.2,1.76,171,159,61,1.21,973,HIIT,26.4,2,4,1,12.32
Myra,41,Female,117.7,1.67,189,123,58,2,1243,Yoga,26.2,3.2,2,1,17.26
Anaya,31,Male,63.8,1.74,199,140,55,1.5,741,HIIT,28.1,1.6,3,2,25.22
Ishaan,31,Male,62.1,1.71,172,169,55,1.52,854,HIIT,27.4,3.7,3,3,
Zara,18,Male,52,1.66,199,137,74,2,1314,Cardio,26.7,3.3,3,1,20.41
Vivaan,25,Female,73.3,1.5,185,169,67,1.38,433,Strength,30.6,1.5,4,1,22.55
Kabir,18,Male,50,1.83,163,140,64,1.41,969,Yoga,19,1.9,3,2,14.29
Advait,34,Male,90,1.74,194,167,57,1.36,764,Cardio,25,2.6,4,2,13.77
Myra,39,Male,109.6,1.84,199,152,74,1.27,790,HIIT,26.7,3.5,2,2,19.77
Reyansh,18,Male,43.5,1.77,161,136,57,2,452,Cardio,24.4,3.3,5,1,21.96
Yuvan,20,Male,115.4,1.73,187,154,63,1.12,878,Yoga,30.7,3.5,3,1,27.02
Myra,22,Male,47.4,1.91,161,164,73,2,1206,Cardio,26.6,3.5,5,3,15.36
Aanya,18,Male,54.6,1.66,189,142,64,1.19,523,HIIT,34.7,2.6,2,1,18.88
Zara,36,Male,40,2,193,121,,1.98,1282,Yoga,25.7,2.6,4,1,27.96
Vivaan,26,Female,71.2,2,169,159,52,1.42,749,Strength,29.8,3.5,4,2,27.16
Meera,53,Female,46.4,1.7,169,120,72,1.49,1415,Yoga,21.9,3.4,4,2,14.08
Aarav,18,Female,69.9,1.78,160,143,74,2,930,HIIT,19.6,2,3,3,12.32
Reyansh,20,Male,64.9,1.69,187,128,54,0.68,1303,Cardio,10,3.3,4,3,14.87
Saanvi,43,Female,47.6,1.65,198,140,61,2,692,Cardio,22,3.5,3,2,22.14
Reyansh,23,Male,48.9,1.7,168,156,65,1.4,1776,Yoga,32.5,2.1,,2,21.36
Ishaan,38,,78.6,1.98,194,136,69,1.3,1590,Strength,27.2,2.3,4,2,25.52
Myra,51,Female,72.2,1.91,184,140,70,1.39,960,HIIT,21,1.5,3,2,17.41
Yuvan,54,Female,79.8,1.94,163,120,63,1.53,827,Yoga,25.3,3.3,4,2,12.32
Riya,22,Male,62.8,1.71,182,153,70,2,816,Yoga,15.8,,3,2,14.23
Sara,26,Female,122.7,,191,151,72,1.14,524,Strength,24.3,1.5,2,3,17.44
Anaya,23,Female,52.4,1.86,166,130,59,1.53,880,Yoga,21.6,1.5,4,2,12.32
Sara,42,,67.7,1.82,199,125,55,0.76,1239,Cardio,15,3.4,2,2,21.78
Vihaan,34,Female,88.8,1.56,198,160,53,1.18,1086,Cardio,32.6,3.4,4,2,30.43
Advait,29,Female,101.5,1.9,175,165,74,1.46,1128,Yoga,26.3,2.7,2,1,25.74
Sara,18,Male,40,1.72,195,137,52,2,1783,Cardio,18.6,1.5,4,1,12.77
Saanvi,24,Male,40,2,173,126,50,1.1,1783,Cardio,31.9,1.6,3,1,34.62
Tia,,Male,50.5,1.76,192,156,72,1.25,768,Cardio,12.8,1.7,4,2,16.06
Arjun,41,Female,66.2,1.83,196,126,74,1.6,993,Yoga,20.2,2.5,5,1,24.37
Saanvi,37,Female,77.5,1.5,175,142,70,1.58,1141,Yoga,21.2,1.8,3,,12.32
Krishna,30,Female,119.6,1.72,191,150,74,1.77,1006,Yoga,13.1,2.2,4,3,13.32
Krishna,38,Male,40,1.5,172,169,59,1.52,1107,HIIT,24.9,2.8,3,1,36.71
Saanvi,18,Male,82.3,1.74,198,155,55,1.38,1368,Strength,26,3.3,2,3,17.15
Aryan,54,Male,71.2,1.7,190,120,58,1.21,708,,14.4,3.1,4,2,12.46
Meera,34,Male,53,1.92,199,134,68,1.12,790,Strength,19.8,3.5,4,3,16.18
Aarav,56,Female,45.7,1.96,192,153,71,2,868,Yoga,11.4,2,4,2,21.34
Sara,18,Female,79.6,1.75,168,125,54,1.26,682,HIIT,25.1,2.4,3,2,12.32
Riya,42,Female,105.3,1.67,175,143,74,1.1,1115,Strength,25.4,3.3,3,1,12.32
Advait,31,Male,84.5,1.56,194,124,70,1.31,734,Strength,23.6,3.3,2,2,21.57
Sara,50,Male,98.6,1.54,187,126,57,0.72,940,Strength,23.5,1.6,3,1,12.32
Sara,27,Male,55.4,1.72,186,153,74,2,1281,\nStrength,10.9,2.4,4,2,14.56
Vivaan,41,Female,40,1.77,168,154,74,1.14,628,HIIT,19.9,3.4,5,1,24.52
Meera,26,Female,63.9,1.75,199,121,72,2,638,HIIT,23.6,3.4,4,2,23.96
Tia,47,Male,40,1.91,185,,74,1.41,608,Cardio,24.3,2.9,3,1,27.2
Riya,31,Female,40,2,192,134,55,1.44,1116,Strength,12,2.6,2,2,21.2
Saanvi,27,Male,91.9,1.5,185,154,60,1.08,825,HIIT,28.8,3.2,5,2,21.07
Saanvi,20,Female,42.4,1.69,198,129,58,0.77,1030,HIIT,28.1,1.5,,1,20.39
Zara,21,Male,76.8,1.52,191,140,66,1.08,702,Cardio,21,3.6,3,2,25.59
Advait,47,Female,70.7,1.66,195,169,60,1.25,1033,\tYoga,16.7,3.5,4,2,14.61
Kabir,33,Male,40,1.88,196,162,58,1.59,1131,Yoga,30.4,2.6,3,1,21.91
Krishna,59,Male,40,1.56,163,167,74,1.59,722,Cardio,23.7,3.2,4,3,12.32
Anaya,43,Male,46.8,1.67,178,141,64,1.03,1403,Cardio,26.1,3.2,3,1,14.13
Zara,27,Male,100.7,1.75,163,166,61,1.28,1159,Cardio,28.1,3.7,3,1,12.32
Myra,44,Female,73.4,1.59,199,152,72,0.94,721,Cardio,23,2.2,4,1,33.25
Advait,22,Male,63.4,1.83,196,169,71,1.66,466,Cardio,28,3.4,2,3,24.61
Vihaan,19,Female,129.9,1.71,161,169,56,2,443,Yoga,29.6,2.4,4,2,12.32
Sara,24,Female,48.3,1.73,193,136,62,1.98,1404,Strength,22,3.5,3,1,13.22
Vivaan,45,Female,80.5,1.89,183,134,74,1.02,1311,HIIT,24.6,1.9,4,1,12.32
Kabir,35,Female,42.9,1.51,163,131,74,2,526,Cardio,15.3,3.3,5,,13.74
Vivaan,18,Male,74.6,1.88,177,166,53,2,1010,Cardio,18,2.2,5,1,30.5
Advait,21,Male,66.7,1.93,175,166,63,1.26,949,Yoga,27.8,3.4,2,2,13.53
Yuvan,31,Female,55,1.6,172,164,53,1.85,1361,Strength,20.6,3.4,4,1,16.04
Aryan,27,Female,52.3,1.77,193,130,57,2,993,Yoga,25.6,,4,1,15.08
Aarav,46,Male,65.7,1.75,192,135,59,1.31,881,Strength,10,2.7,2,1,31.78
Riya,53,Female,84.7,1.61,193,158,72,2,478,Yoga,25.6,2.4,3,1,18.57
Zara,18,,80.4,1.97,172,137,74,1.62,617,Strength,22.4,3.4,3,1,16.91
Sara,18,Female,63.4,1.85,191,148,69,0.89,1106,Strength,21.4,2.3,5,3,15.64
Myra,48,Female,61.8,1.71,172,140,62,1.37,1266,Cardio,28.6,3.6,4,1,23.64
Tia,53,,64.4,1.58,198,158,74,1.82,1144,Yoga,27.2,3,2,1,18.33
Vivaan,25,Male,44.2,1.9,174,159,50,1.1,1293,Yoga,25.7,2.5,4,2,19.26
Aanya,18,Female,43.1,1.75,183,138,53,1.95,437,Cardio,19.1,3.6,2,2,18.14
Zara,18,Male,92.1,1.59,171,150,54,1.17,968,Yoga,21.8,2.4,5,2,25.66
Reyansh,31,Male,58.7,1.66,183,149,74,1.15,1368,Cardio,23.1,2.3,4,1,12.32
Krishna,44,Female,59.4,1.67,197,164,53,1.31,676,Cardio,24.8,,3,2,19.28
Reyansh,59,Female,44.5,1.84,183,154,71,1.28,787,Cardio,26.5,1.7,2,2,20.22
Aryan,44,Female,84.8,2,196,155,70,1.66,1439,HIIT,12.1,1.7,2,1,14.34
Krishna,57,Female,80,1.79,167,127,54,1.01,312,Yoga,24.3,2.6,4,2,13.16
Myra,20,Male,87.1,1.91,186,150,51,1.39,1431,Yoga,27,2.8,3,3,21.51
Ishaan,27,Male,56.4,1.76,198,129,71,1.79,488,HIIT,22.9,3.3,4,1,17.49
Riya,32,Male,58.4,2,179,139,60,1.21,1379,Strength,23.3,3.2,4,2,22.61
Meera,42,Female,68.5,1.75,187,167,54,1.3,708,Cardio,15.4,1.6,4,1,33.91
Advait,48,Female,77.7,1.76,,156,53,2,1153,Cardio,28.4,2.4,3,1,25.3
Kabir,55,Female,67.1,1.58,199,122,71,1.86,960,Strength,21.7,1.5,4,2,28.07
Reyansh,31,Female,55.7,1.8,168,167,64,1.53,600,HIIT,34.4,2.8,4,3,25.27
Myra,39,Female,63.2,1.74,181,157,54,1.62,900,Strength,13.9,2.1,5,1,15.32
Aryan,40,Female,64.6,1.55,198,133,74,1.39,303,Strength,21.4,1.5,2,2,16.91
Kabir,35,Male,55,,172,149,62,1.43,1423,Strength,30,3.5,3,2,23.55
Arjun,36,Female,71.9,1.66,177,,73,0.96,556,Yoga,23.3,3.2,2,2,14.97
Aarav,26,Female,56.7,1.73,168,144,71,0.68,1129,Strength,25.5,3.4,3,1,19.65
Vivaan,48,Male,56,1.7,164,132,50,2,1148,HIIT,26.6,3.1,2,2,19.44
Aanya,54,Female,74.9,1.69,195,153,62,1.1,1389,Yoga,14.4,3.1,3,1,18.71
Kabir,55,Female,,1.68,164,156,67,1.59,851,Cardio,33.1,2.8,3,2,28.23
Ishaan,18,Female,43,1.95,163,164,68,2,1349,Strength,18.5,3.2,2,2,12.32
Aarav,59,Male,70.2,1.77,172,124,68,1.47,1069,Cardio,21.4,3.5,4,1,40.19
Krishna,23,Male,96.5,1.8,187,155,68,0.92,1465,Yoga,29.3,3.2,3,1,12.32
Vivaan,30,Male,56.6,2,184,125,52,1.29,918,Cardio,28.9,3.3,2,1,23.89
Saanvi,38,Female,40,1.88,164,154,70,1.63,1109,Yoga,20.7,1.7,2,2,12.64
Tia,18,Male,101.2,1.59,198,122,58,1.08,,Strength,28.6,3.1,4,2,19.39
Reyansh,48,Female,81.9,1.8,180,165,67,1.25,1410,Cardio,24,3.5,4,2,18.28
Myra,47,Male,121.4,1.61,164,155,74,0.94,934,Strength,24.7,2.5,2,1,30.03
Vivaan,21,Female,70.5,1.84,173,127,66,0.97,1013,Cardio,26.7,1.6,5,3,25.59
Aanya,23,Female,70.5,1.65,192,162,50,0.63,1186,Cardio,27.1,2.6,2,2,20.02
Saanvi,46,Male,54.8,1.69,194,148,74,0.52,846,Yoga,16.5,3.5,3,3,22.85
Saanvi,42,Male,72,1.9,184,147,67,1.48,1047,Yoga,15.6,3.4,3,1,24.6
Aarav,29,Male,56.3,1.81,189,166,65,1.39,1066,Strength,14.3,2.9,3,1,22.34
Reyansh,18,Male,46.5,1.54,198,169,55,,1060,Cardio,28.9,3.1,5,1,14.01
Vihaan,47,Female,51.4,1.88,176,125,58,0.88,1133,Yoga,24,3.3,3,3,14.3
Arjun,43,Male,42.6,1.62,189,169,74,1,1213,Strength,13.6,3.5,2,,21.81
Riya,18,Male,73,1.78,161,131,50,2,1319,Strength,26.1,1.5,5,1,12.32
Yuvan,50,Male,87.9,1.68,192,151,71,2,494,Strength,15.5,3.1,3,3,31.28
Vihaan,35,Male,53,1.67,183,128,72,1.29,682,Yoga,21.9,2.2,3,2,16.71
Saanvi,43,Female,46.3,1.61,190,136,69,2,1185,Yoga,21.4,3.5,4,1,14.14
Myra,50,Male,82.8,1.9,161,130,74,1.51,1151,,16.8,3.3,4,3,28.59
Anaya,53,Female,82.9,1.6,170,148,55,1.93,541,HIIT,17.8,2.5,3,2,12.33
Reyansh,18,Female,71.9,1.54,177,120,73,1.17,817,Strength,16.8,2.6,3,1,29.64
Zara,27,Male,41,1.82,171,138,53,1.47,1273,Cardio,29.1,2.4,4,1,12.35
Ishaan,18,Female,81.9,1.79,178,160,60,1.24,1172,,28.5,1.7,3,3,12.32
Aanya,18,Male,67.7,1.69,192,123,57,1.44,1445,Cardio,26.8,3.1,3,2,21.16
Zara,22,Female,99.5,1.79,186,122,56,1.45,1783,Cardio,27.6,3.5,2,2,23.56
Arjun,31,Female,47.4,1.73,178,150,57,1.64,962,Cardio,28.8,2,4,3,20.91
Reyansh,18,Male,71.1,1.84,189,127,74,0.85,1303,Strength,15.2,2.8,2,3,30.36
Tia,22,Male,89.8,1.79,179,163,59,2,1098,Strength,28.2,1.7,3,1,12.32
Zara,28,Female,81.7,1.81,177,130,50,1.45,507,Cardio,23.2,1.7,3,1,34.26
Yuvan,40,Male,40.4,1.68,171,130,54,2,527,Strength,27.3,3.3,4,3,20.47
Aanya,56,Male,40,1.63,181,133,50,0.89,1674,Yoga,23.4,1.5,3,2,20.75
Tia,41,Male,40.2,1.76,198,135,56,1.93,964,Strength,18.8,3.4,4,1,19.02
Vivaan,47,Male,49.9,1.74,190,120,65,1.97,406,HIIT,29.4,1.5,5,2,16.01
Zara,42,Male,41.9,1.84,168,154,71,1.49,1029,,30.6,2.6,4,2,22.97
Myra,26,Male,40,1.72,164,169,58,0.89,1198,HIIT,17,1.6,5,2,20.71
Kabir,18,Male,47.3,1.75,196,169,56,1.32,706,Cardio,29,1.9,2,2,30.5
Myra,54,Male,79.6,1.87,190,155,53,,884,Strength,27.7,3.5,2,2,12.32
Saanvi,19,Female,76.6,1.84,188,138,71,1.72,699,HIIT,28.3,3.5,4,1,19.76
Kabir,32,Female,69.5,1.65,192,140,52,1.71,1163,Cardio,29.8,3.5,4,1,15.8
Meera,46,Female,68.6,1.63,177,150,58,2,1074,Strength,25.8,3.6,3,3,19.42
Riya,46,Male,73,2,184,123,64,0.9,1159,Cardio,10,3.4,5,3,14.91
Advait,52,Female,40.8,1.71,181,169,73,1.44,303,Yoga,28.3,1.6,3,1,18.31
Anaya,19,Male,42.1,1.6,194,148,73,1.27,1305,Cardio,12.7,3.3,2,2,16.65
Aarav,34,Male,40,1.82,176,141,66,1.34,1709,Cardio,24.1,3,4,1,15.3
Arjun,18,Female,67.1,1.71,174,165,74,1.84,577,\nStrength,27.1,2.7,4,3,24.9
Aarav,53,Male,67.2,1.68,190,138,55,1.67,924,,22.6,1.5,3,1,13.91
Kabir,29,Male,72.1,2,166,124,67,2,1582,Strength,32.7,3.4,3,2,21.75
Meera,49,Female,62,1.87,195,125,74,1.04,842,HIIT,20,3.5,3,1,22.02
Yuvan,52,Male,71.3,1.84,197,126,73,1.22,765,Cardio,29.2,1.8,2,,12.32
Yuvan,28,,85.6,1.54,168,128,59,1.45,860,Yoga,14.9,2.4,4,1,12.32
Vivaan,21,Male,51.9,1.57,170,167,73,1.25,1082,Strength,27.5,1.6,3,2,18.89
Kabir,33,Male,92.8,1.59,161,150,52,1.19,1640,Cardio,23.8,2.6,3,3,15.84
Advait,58,Female,40,1.7,193,120,52,0.99,1178,Yoga,21.2,2.5,5,1,12.32
Anaya,36,Female,44.9,1.79,166,120,74,1.66,811,HIIT,16.2,3.3,3,1,29.4
Yuvan,33,Male,78.6,1.7,161,168,65,2,855,Cardio,10,3.2,2,1,16.53
Riya,42,Female,54,1.69,179,169,53,1.19,458,,25.7,3.3,3,3,14.91
Anaya,29,Male,53.8,1.66,163,133,64,2,1187,Strength,34.5,1.5,4,1,23.95
Arjun,26,Female,91.7,1.58,167,120,52,1.65,1334,Cardio,29.2,2.6,2,2,
Aryan,44,Male,63.3,1.88,189,150,74,1.02,1184,Strength,16.5,3.5,4,1,13.03
Myra,42,Female,98.1,1.73,165,120,69,1.52,477,Yoga,21.7,1.9,2,2,15.29
Aryan,39,Male,129.9,1.81,190,140,74,1.89,,HIIT,14.9,2.5,2,3,26.54
Vivaan,56,,40,1.85,194,158,67,1.43,1633,Yoga,30.6,1.9,4,1,21.57
Tia,32,Male,87.2,1.5,193,152,58,1.28,1538,Cardio,23.2,2.1,3,3,16.29
Krishna,31,Male,64.8,1.71,174,164,57,1.64,857,HIIT,26.2,2.7,4,,23.64
Kabir,48,Male,51.6,1.8,181,161,68,0.82,1487,Cardio,22.5,1.9,4,2,13.29
Vihaan,21,Male,69.4,1.85,177,153,74,1.55,879,Strength,10,2.4,3,2,17.58
Krishna,38,Female,77.4,1.54,169,149,50,2,867,Strength,29,3.6,5,2,13.58
Sara,58,Female,76.3,1.56,190,145,72,2,913,Strength,,3.3,3,3,16.67
Reyansh,42,Female,82.3,1.94,198,132,57,1.46,1050,Yoga,10,3.2,3,2,20.23
Advait,40,Female,95.5,1.84,196,144,68,1.94,1568,Yoga,26.7,3.7,3,1,17.55
Riya,19,Male,60.7,1.7,183,128,74,1.22,817,Strength,20.9,2.8,4,1,35.87
Aryan,34,Male,40,1.88,188,131,54,1.29,840,Cardio,11.9,1.9,3,3,18.81
Tia,37,Female,63.1,1.84,185,158,56,1.3,1248,HIIT,31.9,3.5,3,1,26.39
Anaya,51,Female,55.7,1.5,188,143,58,1.19,1302,HIIT,27.7,2,3,1,28.28
Saanvi,52,Male,53.1,1.55,184,167,50,1.95,1205,Strength,14.6,3.5,5,1,12.32
Zara,52,Female,65.8,1.82,168,167,71,1.15,751,Strength,17.1,1.5,3,1,32.86
Advait,18,Female,,1.72,169,136,66,2,945,Strength,22.8,3.3,4,2,26.19
Sara,35,Female,40.4,1.71,176,130,70,1.97,1110,HIIT,17,3.6,4,3,29.32
Aanya,45,Male,40,1.75,194,120,50,1.67,1296,Yoga,28.8,1.9,3,3,26.88
Aryan,31,Male,40,2,176,162,69,1.45,949,Cardio,26.9,3.2,3,2,30.36
Vivaan,27,Male,40,1.68,166,128,59,1.6,1112,Yoga,10,2.6,4,2,19.67
Reyansh,27,Female,60.1,1.94,184,162,74,2,,Strength,27.2,3.4,3,1,14.02
Meera,18,Male,73,1.89,172,153,56,1.19,596,Cardio,15.6,3.4,5,1,17.22
Vihaan,35,Female,127.6,1.65,174,156,56,1.9,1084,HIIT,20.4,3.4,5,1,15.36
Krishna,49,Female,,1.72,171,122,73,1.02,614,HIIT,21.6,1.8,4,1,18.86
Anaya,18,,40,1.68,178,147,71,2,831,HIIT,17.3,3.5,4,1,24.89
Saanvi,19,Female,43.6,1.7,168,126,55,1.42,685,HIIT,23.9,1.5,4,3,19.35
Sara,24,Male,54,1.71,191,169,71,1.23,730,Cardio,29,2.7,2,2,15.39
Kabir,44,Male,53.1,1.64,160,160,74,1.65,749,Cardio,27,3.2,,2,27.79
Yuvan,21,Female,87.8,1.88,195,133,74,1.95,621,HIIT,19.9,3.4,3,3,20.22
Anaya,42,Male,67.4,1.91,191,146,52,1.26,,HIIT,26.9,3.7,3,3,23.62
Riya,38,Male,82.7,2,178,138,72,1.46,1219,Yoga,25.8,3.6,4,1,24.74
Aanya,33,Male,84,1.7,194,156,73,0.5,580,Cardio,20.5,2.5,3,3,13.38
Yuvan,18,Female,58.4,1.87,167,168,74,1.42,1306,Cardio,26.9,3.2,2,1,17.66
Riya,48,Male,63.8,1.79,185,135,71,1.69,1242,HIIT,29.7,1.5,4,1,25.54
Meera,45,Male,94.6,1.69,178,147,56,1.95,1105,Yoga,29.9,1.8,2,2,15.15
Yuvan,21,Female,40,1.58,165,134,69,1.05,624,Strength,29.2,1.7,3,1,12.47
Aanya,59,Female,71.1,1.73,184,125,66,1.07,691,Cardio,25.2,2.6,2,3,34.41
Kabir,19,,116.6,1.72,187,126,70,1.1,779,Strength,23.8,2.6,3,2,16.61
Yuvan,36,Female,55,1.77,161,142,74,1.04,1564,,19.8,3.2,2,2,21.97
Aarav,33,Female,76.3,1.88,169,161,69,,1265,Cardio,24.2,1.5,4,2,14.97
Anaya,22,Female,48.6,1.72,177,156,70,1.39,708,Yoga,25.4,3.4,3,1,20.42
Vihaan,42,Male,57.3,1.73,194,153,65,1.97,1132,Strength,22.2,3.2,4,1,19.54
Aarav,36,Female,55.9,1.76,181,169,74,1.91,474,Strength,18.2,1.5,5,1,12.32
Krishna,41,Male,73.2,2,179,161,58,1.06,758,HIIT,17.6,1.8,2,1,18.61
Sara,23,Male,58.7,1.69,189,135,,1.37,1231,Yoga,26.6,3.3,2,1,23.64
Krishna,24,Female,91.8,1.82,171,140,52,2,1065,Strength,16.1,2.7,4,2,24.37
Yuvan,42,Female,47.7,1.72,183,150,57,1.95,782,Yoga,31.4,3.1,3,,14.27
Aanya,55,Female,51.9,1.64,171,150,68,1.05,1619,Strength,22.8,2.2,5,3,25.06
Sara,36,Male,60.1,1.78,186,169,51,1.46,1108,Cardio,35,2,3,1,16.06
Arjun,18,Female,40,1.56,196,149,56,0.79,1027,Strength,27.6,1.9,2,1,12.98
Sara,23,Female,64.7,2,184,169,55,1.46,860,Strength,32.4,2.5,5,2,20.45
Sara,24,Male,73,1.61,188,131,60,0.56,864,Yoga,27.4,3.6,2,2,12.36
Anaya,41,Male,90.3,1.76,180,,70,1.96,1596,Cardio,22.6,2.3,4,1,12.32
Ishaan,48,Female,79.1,1.63,168,135,53,1.15,1302,Yoga,35,3.3,4,1,27.86
Vivaan,47,Female,82.2,1.72,174,126,70,1.15,1211,Yoga,25,3.7,2,3,12.4
Tia,54,Male,40,1.79,162,162,54,2,444,Yoga,16.9,2.3,5,3,22.6
Tia,33,Female,60.7,1.57,179,135,69,1.24,964,HIIT,26,2.9,3,1,15.19
Arjun,29,,48.9,1.7,194,145,55,1.12,487,Cardio,33.9,2.2,5,2,28.96
Arjun,50,Female,76.4,1.54,172,133,71,1.3,1311,Strength,25.2,2.1,3,1,33.64
Riya,49,Female,95.6,1.67,164,134,74,1.71,466,Cardio,26,1.8,3,2,14.67
Zara,25,Female,85.1,1.98,185,148,58,1.29,785,Yoga,22.5,3.5,4,1,14.37
Krishna,34,Female,72.9,1.71,164,122,73,1.78,432,HIIT,27.8,1.5,2,2,20.67
Ishaan,30,Female,42.2,1.63,177,134,74,2,685,Yoga,26.4,3.7,3,2,28.27
Anaya,49,Male,40,1.76,193,124,72,1.3,1196,Cardio,11.2,2.2,4,2,16.86
Riya,18,Male,51.8,1.58,164,164,51,0.84,1110,Cardio,25.8,3.5,3,3,16.04
Aryan,31,Male,91.5,,189,169,58,1.51,786,Yoga,24.6,3.6,3,1,19.09
Krishna,22,Male,64.6,2,196,137,73,0.85,704,HIIT,21.4,2.5,3,3,22.43
Zara,47,Male,66.5,1.79,193,155,51,0.69,1656,,24,2.8,5,1,16.95
Sara,54,Male,55.2,1.8,168,137,55,2,1472,HIIT,27,3.1,4,2,23.47
Tia,49,Female,105.3,1.83,165,150,70,1.53,699,Strength,31.4,3.7,3,1,39.35
Anaya,18,Male,74.1,1.76,170,135,62,1.24,1214,Cardio,13.7,2.5,3,2,13.25
Vivaan,46,Female,40,1.75,170,142,63,0.96,919,Cardio,22.3,2.4,4,2,12.41
Krishna,18,Male,91.1,1.76,197,162,59,1.52,1362,Cardio,28.8,3.4,3,1,14.34
Ishaan,21,Female,49.2,1.64,177,164,53,0.58,1114,HIIT,23.3,2.9,3,1,23.08
Reyansh,44,Female,87.8,1.77,163,157,67,1.18,,Yoga,23.7,2,4,2,12.32
Ishaan,48,Female,40,1.77,180,127,54,1.48,1460,HIIT,27.2,2.4,5,3,18.51
Krishna,48,Female,60,1.92,165,140,72,2,1751,HIIT,11.1,1.5,2,2,32.68
Sara,21,Male,56.1,1.54,\t182,168,52,1.34,1083,Strength,33.1,2.5,4,2,18.76
Riya,51,Female,46.2,1.73,192,169,62,1.55,1389,Cardio,32.8,1.7,,3,14.87
